a,b,p_calib
-124,-4,1.9878135132243896e-07
-124,-3,2.1743183764194856e-07
-124,-2,2.4620218483027562e-07
-124,-1,2.379847154558911e-07
-124,0,2.689710443572951e-07
-124,1,2.480495796023254e-07
-124,2,2.3155521177274793e-07
-124,3,2.1086435650115834e-07
-124,4,1.7867177472866822e-07
-124,5,1.3852458637178755e-07
-124,6,1.1669344501669085e-07
-124,7,1.3425910986610351e-07
-124,8,9.7312517573872539e-08
-124,9,1.0706303831858375e-07
-124,10,9.1083069673392419e-08
-124,11,8.331093721705977e-08
-124,12,5.7762996732678693e-08
-124,13,6.1783737807418386e-08
-124,14,6.4315827543334035e-08
-124,15,4.7068421543066075e-08
-124,16,4.0499313612754025e-08
-124,17,2.6046175189008619e-08
-124,18,2.5115964122029221e-08
-124,19,2.6496481605012992e-08
-124,20,1.9727140818978971e-08
-124,21,6.0581804853592367e-08
-124,22,3.0536535806271807e-08
-124,23,5.9517493905543791e-08
-124,24,3.6133792602188185e-08
-124,25,3.5263505025020144e-08
-124,26,1.6373656906225341e-08
-124,27,3.2183165750394727e-08
-124,28,3.2070543001337696e-08
-124,29,1.8495798591402226e-08
-124,30,1.6405957161845872e-08
-124,31,1.4388190200695676e-08
-124,32,2.1934995874070596e-08
-124,33,2.0753130605273216e-08
-124,34,2.5242099109587611e-08
-124,35,8.7409964411751575e-09
-124,36,6.5777837718490891e-09
-124,37,2.2032323178116185e-08
-124,38,8.3194184918164484e-09
-124,39,7.2828731082311922e-09
-124,40,9.724177037721413e-09
-124,41,8.2552291335866997e-09
-124,42,1.553121259349392e-08
-124,43,8.756419806881958e-09
-124,44,1.05713622584899e-08
-124,45,1.2863633276023272e-08
-124,46,2.8620441750234613e-08
-124,47,9.5642724349647413e-10
-124,48,2.3866749705863586e-09
-124,49,9.7348282392638241e-09
-124,50,1.256752730627884e-09
-124,51,6.8089737453106989e-09
-124,52,1.4571798622333931e-08
-124,53,1.3635187742499497e-08
-124,54,1.4376038249740082e-08
-124,55,4.1641657468994566e-09
-124,56,4.4255697674915236e-09
-124,57,2.6548109559849237e-11
-124,58,4.0891356314330102e-09
-124,59,8.5390887767017365e-09
-124,60,5.510628815725462e-10
-124,61,5.1414836418961825e-09
-124,62,1.6881752259751125e-10
-124,63,6.5616494656936753e-10
-124,64,1.9442064858507968e-09
-124,65,1.3094854451893221e-08
-124,66,1.0394532701249347e-09
-124,67,5.9086136031631191e-09
-124,68,1.1160714580387073e-08
-124,69,4.5018007107378992e-10
-124,71,1.1817227206326241e-09
-124,72,1.5102223554587487e-08
-124,73,7.8781511105645618e-09
-124,74,7.5030009995259949e-11
-124,77,7.5030009995259949e-11
-124,78,7.5030009995259949e-11
-124,80,5.9882579269854414e-09
-124,81,2.1680955654820974e-10
-124,85,1.6881752259751125e-10
-124,89,1.1946649010498614e-09
-124,90,1.0129051605650855e-09
-124,95,1.6881752259751125e-10
-124,97,1.0176774845552968e-10
-124,99,1.0129051605650855e-09
-124,100,1.2743091811571518e-09
-124,110,5.9086136031631191e-09
-124,111,1.4495267217381692e-09
-124,113,5.1414836418961825e-09
-124,118,4.42468492664154e-12
-124,120,2.6548109559849237e-11
-124,125,1.0129051605650855e-09
-124,127,3.2349185641509316e-10
