[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=0.9753851117 wNMSE=0.0083984734 wMSE=639.7987 wMRED=0.53324051 wER=0.215477 wMAE=9.4124 wBias=-4.1118 condBias=12.6377 dotDrift=-10.404sigma uMRED=0.0237709111 uER=0.242188 uMAE=12.5781 WCE=96 bias=7.5625
[aligned-objective] schema=aligned_ai_metrics_v2 loss_mode=legacy_aligned guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:00000] loss=4.183262 tau=1.50 collapse_w=0.000 mid_frac=0.500 hard=score=0.9753851117 wNMSE=0.0083984734 wMSE=639.7987 wMRED=0.53324051 wER=0.215477 wMAE=9.4124 wBias=-4.1118 condBias=12.6377 dotDrift=-10.404sigma uMRED=0.0237709111 uER=0.242188 uMAE=12.5781 WCE=96 bias=7.5625
[quad_warmup_bit:00200] loss=1.772121 tau=1.50 collapse_w=0.000 mid_frac=0.458 hard=score=2.0687741345 wNMSE=0.0074624255 wMSE=568.4902 wMRED=0.51637620 wER=0.215477 wMAE=8.3242 wBias=-6.0955 condBias=12.2010 dotDrift=-16.362sigma uMRED=0.0208894155 uER=0.242188 uMAE=10.8125 WCE=106 bias=-1.2500
[quad_warmup_bit:00400] loss=0.445009 tau=1.50 collapse_w=0.000 mid_frac=0.375 hard=score=2.2873829797 wNMSE=0.007568817 wMSE=576.5952 wMRED=0.51841534 wER=0.215477 wMAE=8.5774 wBias=-6.4163 condBias=12.8430 dotDrift=-17.101sigma uMRED=0.0211682895 uER=0.242188 uMAE=10.8438 WCE=106 bias=-6.5000
[quad_warmup_bit:00600] loss=0.103387 tau=1.50 collapse_w=0.000 mid_frac=0.396 hard=score=2.1592351572 wNMSE=0.0066609946 wMSE=507.4369 wMRED=0.46438929 wER=0.204544 wMAE=7.9918 wBias=6.2387 condBias=12.4884 dotDrift=+17.725sigma uMRED=0.0179961212 uER=0.234375 uMAE=8.5000 WCE=78 bias=2.0000
[quad_warmup_bit:00800] loss=0.090772 tau=1.50 collapse_w=0.000 mid_frac=0.396 hard=score=2.0774926160 wNMSE=0.0065513469 wMSE=499.0839 wMRED=0.45862006 wER=0.203761 wMAE=7.9643 wBias=6.1179 condBias=12.2467 dotDrift=+17.527sigma uMRED=0.0179242539 uER=0.230469 uMAE=8.5000 WCE=80 bias=1.8750
[quad_warmup_bit:01000] loss=0.084353 tau=1.50 collapse_w=0.000 mid_frac=0.396 hard=score=1.9615365638 wNMSE=0.0063620327 wMSE=484.6619 wMRED=0.45584915 wER=0.203342 wMAE=7.8821 wBias=5.9427 condBias=11.8958 dotDrift=+17.276sigma uMRED=0.0178544050 uER=0.226562 uMAE=8.5000 WCE=80 bias=1.6250
[quad_warmup_bit:01200] loss=0.080338 tau=1.50 collapse_w=0.000 mid_frac=0.375 hard=score=1.8908031726 wNMSE=0.0061241054 wMSE=466.5365 wMRED=0.44203976 wER=0.171084 wMAE=7.6903 wBias=5.8346 condBias=11.6795 dotDrift=+17.288sigma uMRED=0.0176163620 uER=0.203125 uMAE=8.5000 WCE=80 bias=1.5000
[quad_warmup_bit:01400] loss=0.071392 tau=1.50 collapse_w=0.000 mid_frac=0.354 hard=score=1.8908031726 wNMSE=0.0061241054 wMSE=466.5365 wMRED=0.44203976 wER=0.171084 wMAE=7.6903 wBias=5.8346 condBias=11.6795 dotDrift=+17.288sigma uMRED=0.0176163620 uER=0.203125 uMAE=8.5000 WCE=80 bias=1.5000
[quad_warmup_bit:01600] loss=0.069535 tau=1.50 collapse_w=0.000 mid_frac=0.354 hard=score=1.8908031726 wNMSE=0.0061241054 wMSE=466.5365 wMRED=0.44203976 wER=0.171084 wMAE=7.6903 wBias=5.8346 condBias=11.6795 dotDrift=+17.288sigma uMRED=0.0176163620 uER=0.203125 uMAE=8.5000 WCE=80 bias=1.5000
[quad_warmup_bit:01800] loss=0.067633 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=1.8908031726 wNMSE=0.0061241054 wMSE=466.5365 wMRED=0.44203976 wER=0.171084 wMAE=7.6903 wBias=5.8346 condBias=11.6795 dotDrift=+17.288sigma uMRED=0.0176163620 uER=0.203125 uMAE=8.5000 WCE=80 bias=1.5000
[quad_warmup_bit:02000] loss=0.066573 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=1.8908031726 wNMSE=0.0061241054 wMSE=466.5365 wMRED=0.44203976 wER=0.171084 wMAE=7.6903 wBias=5.8346 condBias=11.6795 dotDrift=+17.288sigma uMRED=0.0176163620 uER=0.203125 uMAE=8.5000 WCE=80 bias=1.5000
