[design] balanced_split quad4 entries=112
[device] cuda
[initial] score=633.3274449084 wNMSE=2.3795204 wMSE=153289.4152 wMRED=11.86246824 wER=0.436890 wMAE=201.8958 wBias=99.4712 condBias=218.2938 dotDrift=+16.260sigma uMRED=0.3612703972 uER=0.431641 uMAE=127.0059 WCE=1184 bias=68.0000
[quad_warmup_bit:02000] loss=0.165639 tau=1.50 collapse_w=0.000 mid_frac=0.286 hard=score=420.3918721615 wNMSE=0.70420445 wMSE=45365.0603 wMRED=5.16837953 wER=0.297204 wMAE=81.2006 wBias=-81.1804 condBias=151.1090 dotDrift=-24.393sigma uMRED=0.1989543873 uER=0.364258 uMAE=85.5000 WCE=704 bias=-85.1250
[quad_warmup_bit:02200] loss=0.160243 tau=1.50 collapse_w=0.000 mid_frac=0.259 hard=score=411.6985901419 wNMSE=0.70185284 wMSE=45213.5691 wMRED=5.14046443 wER=0.275418 wMAE=80.3550 wBias=-80.3347 condBias=149.4274 dotDrift=-24.180sigma uMRED=0.1970298474 uER=0.356445 uMAE=84.5000 WCE=704 bias=-84.1250
[quad_warmup_bit:02400] loss=0.155804 tau=1.50 collapse_w=0.000 mid_frac=0.241 hard=score=403.0753158437 wNMSE=0.68913679 wMSE=44394.3972 wMRED=5.12699534 wER=0.275418 wMAE=79.5089 wBias=-79.4887 condBias=147.7450 dotDrift=-24.145sigma uMRED=0.1936794417 uER=0.356445 uMAE=82.5000 WCE=704 bias=-82.1250
[quad_warmup_bit:02600] loss=0.151887 tau=1.50 collapse_w=0.000 mid_frac=0.259 hard=score=384.1435306619 wNMSE=0.67899278 wMSE=43740.9174 wMRED=5.10503474 wER=0.271853 wMAE=77.6102 wBias=-77.5948 condBias=145.9483 dotDrift=-23.745sigma uMRED=0.1789039714 uER=0.325195 uMAE=70.6562 WCE=704 bias=-70.3750
[quad_warmup_bit:02800] loss=0.148127 tau=1.50 collapse_w=0.000 mid_frac=0.241 hard=score=385.0295018154 wNMSE=0.67949088 wMSE=43773.0048 wMRED=5.10707996 wER=0.271707 wMAE=77.6975 wBias=-77.6844 condBias=146.0080 dotDrift=-23.764sigma uMRED=0.1790693744 uER=0.322266 uMAE=70.7344 WCE=704 bias=-70.5000
[quad_warmup_bit:03000] loss=0.144132 tau=1.50 collapse_w=0.000 mid_frac=0.241 hard=score=443.2774249484 wNMSE=0.72513014 wMSE=46713.0995 wMRED=5.49645631 wER=0.271707 wMAE=83.3779 wBias=-83.3649 condBias=149.6687 dotDrift=-24.686sigma uMRED=0.1830398903 uER=0.322266 uMAE=68.7344 WCE=768 bias=-68.5000
[quad_warmup_bit:03200] loss=0.139420 tau=1.50 collapse_w=0.000 mid_frac=0.232 hard=score=322.4122806768 wNMSE=0.49815562 wMSE=32091.3337 wMRED=4.58180390 wER=0.271707 wMAE=71.1155 wBias=-71.1024 condBias=125.5513 dotDrift=-25.402sigma uMRED=0.1625540501 uER=0.322266 uMAE=64.7344 WCE=640 bias=-64.5000
[quad_warmup_bit:03400] loss=0.133639 tau=1.50 collapse_w=0.000 mid_frac=0.205 hard=score=208.4543527868 wNMSE=0.41505738 wMSE=26738.1204 wMRED=3.78586256 wER=0.223484 wMAE=57.6256 wBias=-57.1467 condBias=113.5726 dotDrift=-22.367sigma uMRED=0.1229547956 uER=0.279297 uMAE=43.9688 WCE=512 bias=-42.5000
[quad_warmup_bit:03600] loss=0.126993 tau=1.50 collapse_w=0.000 mid_frac=0.205 hard=score=208.4543527868 wNMSE=0.41505738 wMSE=26738.1204 wMRED=3.78586256 wER=0.223484 wMAE=57.6256 wBias=-57.1467 condBias=113.5726 dotDrift=-22.367sigma uMRED=0.1229547956 uER=0.279297 uMAE=43.9688 WCE=512 bias=-42.5000
[quad_warmup_bit:03800] loss=0.120057 tau=1.50 collapse_w=0.000 mid_frac=0.196 hard=score=158.9257247363 wNMSE=0.37916291 wMSE=24425.7877 wMRED=3.71084233 wER=0.222748 wMAE=52.8745 wBias=-49.8818 condBias=99.2036 dotDrift=-20.427sigma uMRED=0.0984152478 uER=0.263672 uMAE=27.0938 WCE=512 bias=-17.5000
