[design] balanced_split quad4 entries=112
[device] cuda
[initial] score=68.2095026900 wNMSE=0.5454421 wMSE=101616.5422 wMRED=8.73204565 wER=0.437141 wMAE=151.4664 wBias=55.3242 condBias=164.0901 dotDrift=+11.107sigma uMRED=0.3131401727 uER=0.437500 uMAE=104.2031 WCE=956 bias=53.8750
[quad_warmup_bit:01600] loss=0.143350 tau=1.50 collapse_w=0.000 mid_frac=0.295 hard=score=58.2144436670 wNMSE=0.15751023 wMSE=29344.3509 wMRED=3.60275137 wER=0.273083 wMAE=59.3697 wBias=-51.3134 condBias=109.0516 dotDrift=-19.171sigma uMRED=0.1384118376 uER=0.310547 uMAE=48.6406 WCE=640 bias=-43.6250
[quad_warmup_bit:01800] loss=0.135733 tau=1.50 collapse_w=0.000 mid_frac=0.268 hard=score=36.6569282993 wNMSE=0.1007945 wMSE=18778.1402 wMRED=2.89269847 wER=0.271125 wMAE=48.8522 wBias=-40.7125 condBias=88.7123 dotDrift=-19.014sigma uMRED=0.1135478703 uER=0.301758 uMAE=40.9688 WCE=512 bias=-35.6250
[quad_warmup_bit:02000] loss=0.128164 tau=1.50 collapse_w=0.000 mid_frac=0.259 hard=score=41.7142776070 wNMSE=0.10251414 wMSE=19098.5123 wMRED=2.87013580 wER=0.237096 wMAE=44.6522 wBias=-43.4447 condBias=86.7248 dotDrift=-20.119sigma uMRED=0.1065973713 uER=0.276367 uMAE=35.7188 WCE=512 bias=-33.1250
[quad_warmup_bit:02200] loss=0.119836 tau=1.50 collapse_w=0.000 mid_frac=0.241 hard=score=38.5354934525 wNMSE=0.10128136 wMSE=18868.8437 wMRED=2.84299943 wER=0.227969 wMAE=42.9574 wBias=-41.7499 condBias=83.3353 dotDrift=-19.452sigma uMRED=0.1030433466 uER=0.268555 uMAE=33.7188 WCE=512 bias=-31.1250
[quad_warmup_bit:02400] loss=0.110792 tau=1.50 collapse_w=0.000 mid_frac=0.170 hard=score=37.2086704565 wNMSE=0.10061718 wMSE=18745.1057 wMRED=2.83805327 wER=0.216267 wMAE=41.9993 wBias=-41.0221 condBias=81.5780 dotDrift=-19.176sigma uMRED=0.0984842943 uER=0.240234 uMAE=29.6562 WCE=512 bias=-27.3750
[quad_warmup_bit:02600] loss=0.101936 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.2549996516 wNMSE=0.0044746727 wMSE=833.6371 wMRED=0.10466205 wER=0.171676 wMAE=6.2063 wBias=-3.2233 condBias=14.8093 dotDrift=-7.145sigma uMRED=0.0193515860 uER=0.220703 uMAE=14.2344 WCE=320 bias=-10.8750 *BEST*
[quad_warmup_bit:02800] loss=0.094182 tau=1.50 collapse_w=0.000 mid_frac=0.134 hard=score=0.2549996516 wNMSE=0.0044746727 wMSE=833.6371 wMRED=0.10466205 wER=0.171676 wMAE=6.2063 wBias=-3.2233 condBias=14.8093 dotDrift=-7.145sigma uMRED=0.0193515860 uER=0.220703 uMAE=14.2344 WCE=320 bias=-10.8750
[quad_warmup_bit:03000] loss=0.087754 tau=1.50 collapse_w=0.000 mid_frac=0.134 hard=score=0.2549996516 wNMSE=0.0044746727 wMSE=833.6371 wMRED=0.10466205 wER=0.171676 wMAE=6.2063 wBias=-3.2233 condBias=14.8093 dotDrift=-7.145sigma uMRED=0.0193515860 uER=0.220703 uMAE=14.2344 WCE=320 bias=-10.8750
[quad_warmup_bit:03050] loss=0.086317 tau=1.50 collapse_w=0.000 mid_frac=0.134 hard=score=0.1863268954 wNMSE=0.0031165504 wMSE=580.6172 wMRED=0.10173045 wER=0.171676 wMAE=5.7287 wBias=-2.7457 condBias=12.5261 dotDrift=-7.293sigma uMRED=0.0170556054 uER=0.220703 uMAE=12.2344 WCE=256 bias=-8.8750 *BEST*
[quad_warmup_bit:03100] loss=0.084938 tau=1.50 collapse_w=0.000 mid_frac=0.125 hard=score=0.0218787491 wNMSE=0.00096572188 wMSE=179.9152 wMRED=0.09236986 wER=0.168124 wMAE=4.1634 wBias=-0.8351 condBias=7.7725 dotDrift=-3.985sigma uMRED=0.0094757564 uER=0.205078 uMAE=5.5625 WCE=80 bias=-0.8750 *BEST*
[quad_warmup_bit:03200] loss=0.082387 tau=1.50 collapse_w=0.000 mid_frac=0.116 hard=score=0.0218787491 wNMSE=0.00096572188 wMSE=179.9152 wMRED=0.09236986 wER=0.168124 wMAE=4.1634 wBias=-0.8351 condBias=7.7725 dotDrift=-3.985sigma uMRED=0.0094757564 uER=0.205078 uMAE=5.5625 WCE=80 bias=-0.8750
[quad_warmup_bit:03400] loss=0.078324 tau=1.50 collapse_w=0.000 mid_frac=0.116 hard=score=0.0625756234 wNMSE=0.00075123642 wMSE=139.9563 wMRED=0.08966303 wER=0.177250 wMAE=3.9814 wBias=-1.6013 condBias=6.8967 dotDrift=-8.663sigma uMRED=0.0088307803 uER=0.212891 uMAE=5.0625 WCE=80 bias=-1.8750
[quad_warmup_bit:03600] loss=0.075489 tau=1.50 collapse_w=0.000 mid_frac=0.107 hard=score=0.0625756234 wNMSE=0.00075123642 wMSE=139.9563 wMRED=0.08966303 wER=0.177250 wMAE=3.9814 wBias=-1.6013 condBias=6.8967 dotDrift=-8.663sigma uMRED=0.0088307803 uER=0.212891 uMAE=5.0625 WCE=80 bias=-1.8750
[quad_warmup_bit:03800] loss=0.073410 tau=1.50 collapse_w=0.000 mid_frac=0.107 hard=score=0.0625756234 wNMSE=0.00075123642 wMSE=139.9563 wMRED=0.08966303 wER=0.177250 wMAE=3.9814 wBias=-1.6013 condBias=6.8967 dotDrift=-8.663sigma uMRED=0.0088307803 uER=0.212891 uMAE=5.0625 WCE=80 bias=-1.8750
[quad_warmup_bit:04000] loss=0.071774 tau=1.50 collapse_w=0.000 mid_frac=0.107 hard=score=0.0625756234 wNMSE=0.00075123642 wMSE=139.9563 wMRED=0.08966303 wER=0.177250 wMAE=3.9814 wBias=-1.6013 condBias=6.8967 dotDrift=-8.663sigma uMRED=0.0088307803 uER=0.212891 uMAE=5.0625 WCE=80 bias=-1.8750
[quad_warmup_bit:04200] loss=0.070451 tau=1.50 collapse_w=0.000 mid_frac=0.107 hard=score=0.0038249016 wNMSE=0.00039420372 wMSE=73.4406 wMRED=0.07611688 wER=0.168868 wMAE=3.0314 wBias=0.0935 condBias=4.9899 dotDrift=+0.698sigma uMRED=0.0066483402 uER=0.201172 uMAE=3.7656 WCE=48 bias=0.1250 *BEST*
[quad_warmup_bit:04400] loss=0.069398 tau=1.50 collapse_w=0.000 mid_frac=0.098 hard=score=0.0038249016 wNMSE=0.00039420372 wMSE=73.4406 wMRED=0.07611688 wER=0.168868 wMAE=3.0314 wBias=0.0935 condBias=4.9899 dotDrift=+0.698sigma uMRED=0.0066483402 uER=0.201172 uMAE=3.7656 WCE=48 bias=0.1250
[quad_warmup_bit:04600] loss=0.068600 tau=1.50 collapse_w=0.000 mid_frac=0.098 hard=score=0.0038249016 wNMSE=0.00039420372 wMSE=73.4406 wMRED=0.07611688 wER=0.168868 wMAE=3.0314 wBias=0.0935 condBias=4.9899 dotDrift=+0.698sigma uMRED=0.0066483402 uER=0.201172 uMAE=3.7656 WCE=48 bias=0.1250
[quad_warmup_bit:04800] loss=0.067997 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0038249016 wNMSE=0.00039420372 wMSE=73.4406 wMRED=0.07611688 wER=0.168868 wMAE=3.0314 wBias=0.0935 condBias=4.9899 dotDrift=+0.698sigma uMRED=0.0066483402 uER=0.201172 uMAE=3.7656 WCE=48 bias=0.1250
[quad_warmup_bit:05000] loss=0.067534 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0038249016 wNMSE=0.00039420372 wMSE=73.4406 wMRED=0.07611688 wER=0.168868 wMAE=3.0314 wBias=0.0935 condBias=4.9899 dotDrift=+0.698sigma uMRED=0.0066483402 uER=0.201172 uMAE=3.7656 WCE=48 bias=0.1250
[quad_warmup_bit:05200] loss=0.067165 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0038249016 wNMSE=0.00039420372 wMSE=73.4406 wMRED=0.07611688 wER=0.168868 wMAE=3.0314 wBias=0.0935 condBias=4.9899 dotDrift=+0.698sigma uMRED=0.0066483402 uER=0.201172 uMAE=3.7656 WCE=48 bias=0.1250
[quad_warmup_bit:05400] loss=0.066865 tau=1.50 collapse_w=0.000 mid_frac=0.080 hard=score=0.0061068573 wNMSE=0.00045720496 wMSE=85.1779 wMRED=0.07914217 wER=0.175683 wMAE=3.3692 wBias=-0.3297 condBias=5.0487 dotDrift=-2.286sigma uMRED=0.0071922444 uER=0.207031 uMAE=4.1875 WCE=48 bias=-0.3750
[quad_warmup_bit:05600] loss=0.066619 tau=1.50 collapse_w=0.000 mid_frac=0.080 hard=score=0.0061068573 wNMSE=0.00045720496 wMSE=85.1779 wMRED=0.07914217 wER=0.175683 wMAE=3.3692 wBias=-0.3297 condBias=5.0487 dotDrift=-2.286sigma uMRED=0.0071922444 uER=0.207031 uMAE=4.1875 WCE=48 bias=-0.3750
[quad_warmup_bit:05800] loss=0.066419 tau=1.50 collapse_w=0.000 mid_frac=0.080 hard=score=0.0061068573 wNMSE=0.00045720496 wMSE=85.1779 wMRED=0.07914217 wER=0.175683 wMAE=3.3692 wBias=-0.3297 condBias=5.0487 dotDrift=-2.286sigma uMRED=0.0071922444 uER=0.207031 uMAE=4.1875 WCE=48 bias=-0.3750
[quad_warmup_bit:05999] loss=0.066251 tau=1.50 collapse_w=0.000 mid_frac=0.080 hard=score=0.0061068573 wNMSE=0.00045720496 wMSE=85.1779 wMRED=0.07914217 wER=0.175683 wMAE=3.3692 wBias=-0.3297 condBias=5.0487 dotDrift=-2.286sigma uMRED=0.0071922444 uER=0.207031 uMAE=4.1875 WCE=48 bias=-0.3750
[quad_soft:00000] loss=0.113271 tau=1.50 collapse_w=0.000 mid_frac=0.080 hard=score=0.0061068573 wNMSE=0.00045720496 wMSE=85.1779 wMRED=0.07914217 wER=0.175683 wMAE=3.3692 wBias=-0.3297 condBias=5.0487 dotDrift=-2.286sigma uMRED=0.0071922444 uER=0.207031 uMAE=4.1875 WCE=48 bias=-0.3750
[quad_soft:00200] loss=0.089801 tau=1.59 collapse_w=0.000 mid_frac=0.080 hard=score=0.0202598743 wNMSE=0.0005485858 wMSE=102.2022 wMRED=0.10737274 wER=0.193493 wMAE=3.9035 wBias=-0.8640 condBias=5.4882 dotDrift=-5.469sigma uMRED=0.0084626013 uER=0.222656 uMAE=4.6875 WCE=48 bias=-0.8750
[quad_soft:00400] loss=0.083453 tau=1.68 collapse_w=0.000 mid_frac=0.062 hard=score=0.0061068573 wNMSE=0.00045720496 wMSE=85.1779 wMRED=0.07914217 wER=0.175683 wMAE=3.3692 wBias=-0.3297 condBias=5.0487 dotDrift=-2.286sigma uMRED=0.0071922444 uER=0.207031 uMAE=4.1875 WCE=48 bias=-0.3750
[quad_soft:00600] loss=0.080510 tau=1.77 collapse_w=0.000 mid_frac=0.062 hard=score=0.0061068573 wNMSE=0.00045720496 wMSE=85.1779 wMRED=0.07914217 wER=0.175683 wMAE=3.3692 wBias=-0.3297 condBias=5.0487 dotDrift=-2.286sigma uMRED=0.0071922444 uER=0.207031 uMAE=4.1875 WCE=48 bias=-0.3750
[quad_soft:00800] loss=0.078537 tau=1.86 collapse_w=0.000 mid_frac=0.062 hard=score=0.0061068573 wNMSE=0.00045720496 wMSE=85.1779 wMRED=0.07914217 wER=0.175683 wMAE=3.3692 wBias=-0.3297 condBias=5.0487 dotDrift=-2.286sigma uMRED=0.0071922444 uER=0.207031 uMAE=4.1875 WCE=48 bias=-0.3750
[quad_soft:01000] loss=0.076806 tau=1.95 collapse_w=0.000 mid_frac=0.062 hard=score=0.0061068573 wNMSE=0.00045720496 wMSE=85.1779 wMRED=0.07914217 wER=0.175683 wMAE=3.3692 wBias=-0.3297 condBias=5.0487 dotDrift=-2.286sigma uMRED=0.0071922444 uER=0.207031 uMAE=4.1875 WCE=48 bias=-0.3750
