[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=4.8685537428 wNMSE=0.028670176 wMSE=2184.1042 wMRED=0.87558118 wER=0.216412 wMAE=17.2492 wBias=-9.2876 condBias=23.3494 dotDrift=-12.719sigma uMRED=0.0444405825 uER=0.246094 uMAE=24.5000 WCE=180 bias=1.2500
[aligned-objective] schema=aligned_ai_metrics_v2 guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:03000] loss=0.059338 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.9440463721 wNMSE=0.0064613462 wMSE=492.2277 wMRED=0.43151711 wER=0.151802 wMAE=7.5634 wBias=4.0705 condBias=11.0854 dotDrift=+11.742sigma uMRED=0.0226132882 uER=0.210938 uMAE=13.6875 WCE=112 bias=-9.3750
[quad_warmup_bit:03200] loss=0.058688 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.9440463721 wNMSE=0.0064613462 wMSE=492.2277 wMRED=0.43151711 wER=0.151802 wMAE=7.5634 wBias=4.0705 condBias=11.0854 dotDrift=+11.742sigma uMRED=0.0226132882 uER=0.210938 uMAE=13.6875 WCE=112 bias=-9.3750
[quad_warmup_bit:03400] loss=0.058009 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.9440463721 wNMSE=0.0064613462 wMSE=492.2277 wMRED=0.43151711 wER=0.151802 wMAE=7.5634 wBias=4.0705 condBias=11.0854 dotDrift=+11.742sigma uMRED=0.0226132882 uER=0.210938 uMAE=13.6875 WCE=112 bias=-9.3750
[quad_warmup_bit:03600] loss=0.057277 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.9440463721 wNMSE=0.0064613462 wMSE=492.2277 wMRED=0.43151711 wER=0.151802 wMAE=7.5634 wBias=4.0705 condBias=11.0854 dotDrift=+11.742sigma uMRED=0.0226132882 uER=0.210938 uMAE=13.6875 WCE=112 bias=-9.3750
[quad_warmup_bit:03800] loss=0.056229 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.9440463721 wNMSE=0.0064613462 wMSE=492.2277 wMRED=0.43151711 wER=0.151802 wMAE=7.5634 wBias=4.0705 condBias=11.0854 dotDrift=+11.742sigma uMRED=0.0226132882 uER=0.210938 uMAE=13.6875 WCE=112 bias=-9.3750
[quad_warmup_bit:04000] loss=0.055241 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=1.1742054191 wNMSE=0.0058798432 wMSE=447.9285 wMRED=0.42888646 wER=0.151802 wMAE=7.2173 wBias=4.5689 condBias=10.5742 dotDrift=+13.816sigma uMRED=0.0195660216 uER=0.210938 uMAE=11.0000 WCE=112 bias=-5.3750
[quad_warmup_bit:04200] loss=0.054052 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.0589774090 wNMSE=0.00078011968 wMSE=59.4298 wMRED=0.02750225 wER=0.098127 wMAE=1.6537 wBias=-0.9948 condBias=3.8516 dotDrift=-8.258sigma uMRED=0.0104240470 uER=0.195312 uMAE=9.0000 WCE=112 bias=-7.3750
[quad_warmup_bit:04400] loss=0.052777 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.0589774090 wNMSE=0.00078011968 wMSE=59.4298 wMRED=0.02750225 wER=0.098127 wMAE=1.6537 wBias=-0.9948 condBias=3.8516 dotDrift=-8.258sigma uMRED=0.0104240470 uER=0.195312 uMAE=9.0000 WCE=112 bias=-7.3750
[quad_warmup_bit:04600] loss=0.051455 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.0589774090 wNMSE=0.00078011968 wMSE=59.4298 wMRED=0.02750225 wER=0.098127 wMAE=1.6537 wBias=-0.9948 condBias=3.8516 dotDrift=-8.258sigma uMRED=0.0104240470 uER=0.195312 uMAE=9.0000 WCE=112 bias=-7.3750
[quad_warmup_bit:04800] loss=0.049956 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.0343713608 wNMSE=0.00062617822 wMSE=47.7025 wMRED=0.02247394 wER=0.087794 wMAE=1.2794 wBias=-0.7451 condBias=3.4509 dotDrift=-6.905sigma uMRED=0.0090669818 uER=0.171875 uMAE=8.0000 WCE=112 bias=-7.3750
