[design] quality quad4 entries=56
[device] cuda
[initial] score=0.0107082799 wNMSE=5.8143809e-05 wMSE=1734.3125 wMRED=0.04073431 wER=0.250000 wMAE=17.6250 wBias=2.5625 condBias=20.8225 dotDrift=+3.938sigma uMRED=0.0407343091 uER=0.250000 uMAE=17.6250 WCE=158 bias=2.5625
[quad_warmup_bit:02000] loss=0.046017 tau=1.50 collapse_w=0.000 mid_frac=0.125 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:02200] loss=0.045787 tau=1.50 collapse_w=0.000 mid_frac=0.125 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:02400] loss=0.045615 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:02600] loss=0.045483 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:02800] loss=0.045380 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:03000] loss=0.045296 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:03200] loss=0.045228 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:03400] loss=0.045172 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:03600] loss=0.045124 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:03800] loss=0.045084 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:04000] loss=0.045050 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:04200] loss=0.045021 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:04400] loss=0.044995 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:04600] loss=0.044973 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
[quad_warmup_bit:04800] loss=0.044954 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0009889975 wNMSE=5.028835e-07 wMSE=15.0000 wMRED=0.00221340 wER=0.144531 wMAE=1.3125 wBias=0.0000 condBias=1.9365 dotDrift=+0.000sigma uMRED=0.0022134025 uER=0.144531 uMAE=1.3125 WCE=16 bias=0.0000
