[initial-infeasible] random start violates zero-product safety: zero_violations=148, workload_zero_probability=0.0776177181068; using guard baseline as deployable best
[design] default_split quad4 entries=168
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=544.7623019584 wNMSE=6.7255338 wMSE=512353.5617 wMRED=27.65185707 wER=0.574584 wMAE=353.1597 wBias=-95.2217 condBias=386.5471 dotDrift=-8.514sigma uMRED=0.9238423296 uER=0.573730 uMAE=362.5581 WCE=2374 bias=105.2500
[aligned-objective] schema=aligned_ai_metrics_v2 loss_mode=legacy_aligned guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:00000] loss=13.602882 tau=1.50 collapse_w=0.000 mid_frac=0.476 hard=score=544.7623019584 wNMSE=6.7255338 wMSE=512353.5617 wMRED=27.65185707 wER=0.574584 wMAE=353.1597 wBias=-95.2217 condBias=386.5471 dotDrift=-8.514sigma uMRED=0.9238423296 uER=0.573730 uMAE=362.5581 WCE=2374 bias=105.2500
[quad_warmup_bit:00200] loss=5.095284 tau=1.50 collapse_w=0.000 mid_frac=0.458 hard=score=2715.5715725930 wNMSE=5.933582 wMSE=452022.3929 wMRED=21.93279667 wER=0.534737 wMAE=267.3373 wBias=-222.2468 condBias=415.3796 dotDrift=-21.156sigma uMRED=0.7153620665 uER=0.564209 uMAE=269.5645 WCE=2376 bias=-129.8750
[quad_warmup_bit:00400] loss=3.510031 tau=1.50 collapse_w=0.000 mid_frac=0.399 hard=score=4.5297474357 wNMSE=0.65275134 wMSE=49726.8299 wMRED=2.04744072 wER=0.419777 wMAE=62.6875 wBias=-5.7169 condBias=77.3793 dotDrift=-1.641sigma uMRED=0.3504936379 uER=0.547852 uMAE=202.4297 WCE=3348 bias=-38.5000
[quad_warmup_bit:00600] loss=2.610049 tau=1.50 collapse_w=0.000 mid_frac=0.357 hard=score=3.8865293582 wNMSE=0.35488314 wMSE=27035.1243 wMRED=2.21281600 wER=0.422040 wMAE=64.5493 wBias=-4.9767 condBias=88.6628 dotDrift=-1.937sigma uMRED=0.3085168349 uER=0.550049 uMAE=196.0312 WCE=1680 bias=-44.7500
[quad_warmup_bit:00800] loss=2.184292 tau=1.50 collapse_w=0.000 mid_frac=0.274 hard=score=3.8094569595 wNMSE=0.35223921 wMSE=26833.7087 wMRED=2.19014757 wER=0.420079 wMAE=64.9734 wBias=-4.9403 condBias=87.7020 dotDrift=-1.930sigma uMRED=0.2991774145 uER=0.538330 uMAE=194.0195 WCE=1680 bias=-60.5000
[quad_warmup_bit:01000] loss=2.018733 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=2.7608654067 wNMSE=0.35042828 wMSE=26695.7514 wMRED=1.97112484 wER=0.363367 wMAE=62.8687 wBias=-2.3178 condBias=87.3251 dotDrift=-0.908sigma uMRED=0.2951757506 uER=0.524170 uMAE=193.1230 WCE=1680 bias=-57.8750
[quad_warmup_bit:01200] loss=1.954668 tau=1.50 collapse_w=0.000 mid_frac=0.238 hard=score=4.5351399974 wNMSE=0.29141276 wMSE=22199.9275 wMRED=1.94017557 wER=0.362880 wMAE=59.0589 wBias=-6.5278 condBias=83.5571 dotDrift=-2.804sigma uMRED=0.2579069539 uER=0.521484 uMAE=163.5723 WCE=1680 bias=-88.8750
[quad_warmup_bit:01400] loss=1.926647 tau=1.50 collapse_w=0.000 mid_frac=0.232 hard=score=5.1313902501 wNMSE=0.2845864 wMSE=21679.8935 wMRED=1.88515386 wER=0.358157 wMAE=56.9600 wBias=-7.3857 condBias=82.6712 dotDrift=-3.210sigma uMRED=0.2499621206 uER=0.518555 uMAE=156.7695 WCE=1680 bias=-83.3750
[quad_warmup_bit:01600] loss=1.484462 tau=1.50 collapse_w=0.000 mid_frac=0.226 hard=score=6.4262253288 wNMSE=0.27023451 wMSE=20586.5610 wMRED=1.39879600 wER=0.308444 wMAE=49.1944 wBias=-9.1228 condBias=78.4837 dotDrift=-4.069sigma uMRED=0.2367733535 uER=0.500244 uMAE=155.2715 WCE=1680 bias=-83.3750
[quad_warmup_bit:01800] loss=1.471459 tau=1.50 collapse_w=0.000 mid_frac=0.226 hard=score=9.8317615106 wNMSE=0.27553265 wMSE=20990.1757 wMRED=1.33571981 wER=0.299341 wMAE=47.8475 wBias=-12.0709 condBias=79.4282 dotDrift=-5.332sigma uMRED=0.2361163387 uER=0.494385 uMAE=155.5430 WCE=1680 bias=-87.3750
[quad_warmup_bit:02000] loss=1.461068 tau=1.50 collapse_w=0.000 mid_frac=0.220 hard=score=5.8578604298 wNMSE=0.27732275 wMSE=21126.5458 wMRED=1.22736872 wER=0.277815 wMAE=45.6337 wBias=-8.4814 condBias=79.2842 dotDrift=-3.735sigma uMRED=0.2322046071 uER=0.477295 uMAE=152.0840 WCE=1680 bias=-78.5000
