[design] balanced quad4 entries=56
[device] cuda
[initial] score=0.1003750264 wNMSE=0.0023655263 wMSE=70558.8750 wMRED=0.37546807 wER=0.437500 wMAE=114.8438 wBias=11.8750 condBias=152.3488 dotDrift=+2.861sigma uMRED=0.3754680684 uER=0.437500 uMAE=114.8438 WCE=1255 bias=11.8750
[quad_warmup_bit:04200] loss=0.082438 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250
[quad_warmup_bit:04400] loss=0.082396 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250
[quad_warmup_bit:04600] loss=0.082360 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250
[quad_warmup_bit:04800] loss=0.082328 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250
[quad_warmup_bit:05000] loss=0.082300 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250
[quad_warmup_bit:05200] loss=0.082276 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250
[quad_warmup_bit:05400] loss=0.082254 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250
[quad_warmup_bit:05600] loss=0.082235 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250
[quad_warmup_bit:05800] loss=0.082218 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250
[quad_warmup_bit:05999] loss=0.082203 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0049811965 wNMSE=9.5547864e-06 wMSE=285.0000 wMRED=0.01000840 wER=0.191406 wMAE=5.6250 wBias=0.6250 condBias=9.6825 dotDrift=+2.369sigma uMRED=0.0100084038 uER=0.191406 uMAE=5.6250 WCE=80 bias=0.6250
