[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=0.9570802357 wNMSE=0.013169397 wMSE=1003.2494 wMRED=0.35562797 wER=0.194815 wMAE=10.3494 wBias=4.0080 condBias=15.8259 dotDrift=+8.099sigma uMRED=0.0309455822 uER=0.242188 uMAE=20.1562 WCE=170 bias=1.6250
[aligned-objective] schema=aligned_ai_metrics_v2 guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:03000] loss=0.050797 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.0161077292 wNMSE=0.0017789184 wMSE=135.5186 wMRED=0.04844928 wER=0.122279 wMAE=2.7987 wBias=0.2861 condBias=5.8173 dotDrift=+1.573sigma uMRED=0.0119848154 uER=0.218750 uMAE=9.3125 WCE=80 bias=-1.2500
[quad_warmup_bit:03200] loss=0.049070 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.0310806538 wNMSE=0.0023258111 wMSE=177.1811 wMRED=0.05184163 wER=0.122279 wMAE=3.0558 wBias=0.5432 condBias=6.6517 dotDrift=+2.612sigma uMRED=0.0127323884 uER=0.218750 uMAE=9.8125 WCE=96 bias=-0.7500
[quad_warmup_bit:03400] loss=0.048229 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.0414166553 wNMSE=0.0023188888 wMSE=176.6538 wMRED=0.05230967 wER=0.122279 wMAE=3.0719 wBias=0.6972 condBias=6.6418 dotDrift=+3.357sigma uMRED=0.0127450639 uER=0.218750 uMAE=9.8125 WCE=96 bias=-0.5000
[quad_warmup_bit:03600] loss=0.047577 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.0414166553 wNMSE=0.0023188888 wMSE=176.6538 wMRED=0.05230967 wER=0.122279 wMAE=3.0719 wBias=0.6972 condBias=6.6418 dotDrift=+3.357sigma uMRED=0.0127450639 uER=0.218750 uMAE=9.8125 WCE=96 bias=-0.5000
[quad_warmup_bit:03800] loss=0.046876 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.0414166553 wNMSE=0.0023188888 wMSE=176.6538 wMRED=0.05230967 wER=0.122279 wMAE=3.0719 wBias=0.6972 condBias=6.6418 dotDrift=+3.357sigma uMRED=0.0127450639 uER=0.218750 uMAE=9.8125 WCE=96 bias=-0.5000
[quad_warmup_bit:04000] loss=0.046453 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.0395842415 wNMSE=0.0023394021 wMSE=178.2165 wMRED=0.05245271 wER=0.122279 wMAE=3.0983 wBias=0.6708 condBias=6.6711 dotDrift=+3.216sigma uMRED=0.0132541158 uER=0.218750 uMAE=10.3125 WCE=96 bias=-1.0000
[quad_warmup_bit:04200] loss=0.046416 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.0395842415 wNMSE=0.0023394021 wMSE=178.2165 wMRED=0.05245271 wER=0.122279 wMAE=3.0983 wBias=0.6708 condBias=6.6711 dotDrift=+3.216sigma uMRED=0.0132541158 uER=0.218750 uMAE=10.3125 WCE=96 bias=-1.0000
[quad_warmup_bit:04400] loss=0.047335 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.0395842415 wNMSE=0.0023394021 wMSE=178.2165 wMRED=0.05245271 wER=0.122279 wMAE=3.0983 wBias=0.6708 condBias=6.6711 dotDrift=+3.216sigma uMRED=0.0132541158 uER=0.218750 uMAE=10.3125 WCE=96 bias=-1.0000
[quad_warmup_bit:04600] loss=0.047041 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.0395842415 wNMSE=0.0023394021 wMSE=178.2165 wMRED=0.05245271 wER=0.122279 wMAE=3.0983 wBias=0.6708 condBias=6.6711 dotDrift=+3.216sigma uMRED=0.0132541158 uER=0.218750 uMAE=10.3125 WCE=96 bias=-1.0000
[quad_warmup_bit:04800] loss=0.046757 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.0395842415 wNMSE=0.0023394021 wMSE=178.2165 wMRED=0.05245271 wER=0.122279 wMAE=3.0983 wBias=0.6708 condBias=6.6711 dotDrift=+3.216sigma uMRED=0.0132541158 uER=0.218750 uMAE=10.3125 WCE=96 bias=-1.0000
[quad_warmup_bit:05000] loss=0.046477 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.0395842415 wNMSE=0.0023394021 wMSE=178.2165 wMRED=0.05245271 wER=0.122279 wMAE=3.0983 wBias=0.6708 condBias=6.6711 dotDrift=+3.216sigma uMRED=0.0132541158 uER=0.218750 uMAE=10.3125 WCE=96 bias=-1.0000
[quad_warmup_bit:05200] loss=0.046193 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.0433917610 wNMSE=0.0023094679 wMSE=175.9361 wMRED=0.05216664 wER=0.121498 wMAE=3.0455 wBias=0.7236 condBias=6.6283 dotDrift=+3.492sigma uMRED=0.0122360120 uER=0.203125 uMAE=9.3125 WCE=96 bias=0.0000
[quad_warmup_bit:05400] loss=0.044666 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.0112114633 wNMSE=0.0013237043 wMSE=100.8403 wMRED=0.04538193 wER=0.121498 wMAE=2.5312 wBias=0.2093 condBias=5.0180 dotDrift=+1.334sigma uMRED=0.0107408659 uER=0.203125 uMAE=8.3125 WCE=64 bias=-1.0000
[quad_warmup_bit:05600] loss=0.045225 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.0112114633 wNMSE=0.0013237043 wMSE=100.8403 wMRED=0.04538193 wER=0.121498 wMAE=2.5312 wBias=0.2093 condBias=5.0180 dotDrift=+1.334sigma uMRED=0.0107408659 uER=0.203125 uMAE=8.3125 WCE=64 bias=-1.0000
[quad_warmup_bit:05800] loss=0.044094 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.0189259916 wNMSE=0.001117427 wMSE=85.1260 wMRED=0.04035363 wER=0.113421 wMAE=2.1570 wBias=0.4590 condBias=4.6106 dotDrift=+3.184sigma uMRED=0.0093838006 uER=0.195312 uMAE=7.3125 WCE=64 bias=-1.0000
[quad_warmup_bit:05999] loss=0.043739 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.0208219598 wNMSE=0.00044216093 wMSE=33.6840 wMRED=0.03015446 wER=0.106944 wMAE=1.3532 wBias=-0.5697 condBias=2.9004 dotDrift=-6.282sigma uMRED=0.0069119417 uER=0.179688 uMAE=5.6250 WCE=64 bias=-3.0000
[quad_soft:00000] loss=0.049084 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.0208219598 wNMSE=0.00044216093 wMSE=33.6840 wMRED=0.03015446 wER=0.106944 wMAE=1.3532 wBias=-0.5697 condBias=2.9004 dotDrift=-6.282sigma uMRED=0.0069119417 uER=0.179688 uMAE=5.6250 WCE=64 bias=-3.0000
[quad_soft:00200] loss=0.047277 tau=1.59 collapse_w=0.000 mid_frac=0.208 hard=score=0.0082966855 wNMSE=0.00056195888 wMSE=42.8102 wMRED=0.02793824 wER=0.106944 wMAE=1.3169 wBias=-0.2842 condBias=3.2700 dotDrift=-2.780sigma uMRED=0.0076511888 uER=0.179688 uMAE=6.3750 WCE=80 bias=-1.7500
[quad_soft:00400] loss=0.047973 tau=1.68 collapse_w=0.000 mid_frac=0.208 hard=score=0.0069338947 wNMSE=0.00017867931 wMSE=13.6119 wMRED=0.02432493 wER=0.102074 wMAE=0.8509 wBias=-0.3166 condBias=1.8436 dotDrift=-5.491sigma uMRED=0.0036640986 uER=0.148438 uMAE=2.8750 WCE=64 bias=-2.2500
[quad_soft:00600] loss=0.048880 tau=1.77 collapse_w=0.000 mid_frac=0.208 hard=score=0.0069338947 wNMSE=0.00017867931 wMSE=13.6119 wMRED=0.02432493 wER=0.102074 wMAE=0.8509 wBias=-0.3166 condBias=1.8436 dotDrift=-5.491sigma uMRED=0.0036640986 uER=0.148438 uMAE=2.8750 WCE=64 bias=-2.2500
[quad_soft:00800] loss=0.049869 tau=1.86 collapse_w=0.000 mid_frac=0.208 hard=score=0.0069338947 wNMSE=0.00017867931 wMSE=13.6119 wMRED=0.02432493 wER=0.102074 wMAE=0.8509 wBias=-0.3166 condBias=1.8436 dotDrift=-5.491sigma uMRED=0.0036640986 uER=0.148438 uMAE=2.8750 WCE=64 bias=-2.2500
[quad_soft:01000] loss=0.051116 tau=1.95 collapse_w=0.000 mid_frac=0.208 hard=score=0.0069338947 wNMSE=0.00017867931 wMSE=13.6119 wMRED=0.02432493 wER=0.102074 wMAE=0.8509 wBias=-0.3166 condBias=1.8436 dotDrift=-5.491sigma uMRED=0.0036640986 uER=0.148438 uMAE=2.8750 WCE=64 bias=-2.2500
[quad_soft:01200] loss=0.041193 tau=2.04 collapse_w=0.000 mid_frac=0.208 hard=score=0.0069338947 wNMSE=0.00017867931 wMSE=13.6119 wMRED=0.02432493 wER=0.102074 wMAE=0.8509 wBias=-0.3166 condBias=1.8436 dotDrift=-5.491sigma uMRED=0.0036640986 uER=0.148438 uMAE=2.8750 WCE=64 bias=-2.2500
[quad_soft:01400] loss=0.040284 tau=2.13 collapse_w=0.000 mid_frac=0.208 hard=score=0.0069338947 wNMSE=0.00017867931 wMSE=13.6119 wMRED=0.02432493 wER=0.102074 wMAE=0.8509 wBias=-0.3166 condBias=1.8436 dotDrift=-5.491sigma uMRED=0.0036640986 uER=0.148438 uMAE=2.8750 WCE=64 bias=-2.2500
[quad_soft:01600] loss=0.039544 tau=2.22 collapse_w=0.000 mid_frac=0.208 hard=score=0.0069338947 wNMSE=0.00017867931 wMSE=13.6119 wMRED=0.02432493 wER=0.102074 wMAE=0.8509 wBias=-0.3166 condBias=1.8436 dotDrift=-5.491sigma uMRED=0.0036640986 uER=0.148438 uMAE=2.8750 WCE=64 bias=-2.2500
[quad_soft:01800] loss=0.038936 tau=2.31 collapse_w=0.000 mid_frac=0.208 hard=score=0.0141667976 wNMSE=0.00022064696 wMSE=16.8090 wMRED=0.02747941 wER=0.102074 wMAE=1.0117 wBias=-0.4774 condBias=2.0487 dotDrift=-7.453sigma uMRED=0.0040529694 uER=0.148438 uMAE=3.1250 WCE=64 bias=-2.5000
[quad_soft:02000] loss=0.038147 tau=2.40 collapse_w=0.000 mid_frac=0.188 hard=score=0.0069338947 wNMSE=0.00017867931 wMSE=13.6119 wMRED=0.02432493 wER=0.102074 wMAE=0.8509 wBias=-0.3166 condBias=1.8436 dotDrift=-5.491sigma uMRED=0.0036640986 uER=0.148438 uMAE=2.8750 WCE=64 bias=-2.2500
[quad_soft:02200] loss=0.037370 tau=2.49 collapse_w=0.000 mid_frac=0.188 hard=score=0.0069338947 wNMSE=0.00017867931 wMSE=13.6119 wMRED=0.02432493 wER=0.102074 wMAE=0.8509 wBias=-0.3166 condBias=1.8436 dotDrift=-5.491sigma uMRED=0.0036640986 uER=0.148438 uMAE=2.8750 WCE=64 bias=-2.2500
[quad_soft:02400] loss=0.036626 tau=2.58 collapse_w=0.000 mid_frac=0.188 hard=score=0.0032820032 wNMSE=0.00010196514 wMSE=7.7677 wMRED=0.02381904 wER=0.101286 wMAE=0.7596 wBias=-0.2045 condBias=1.3925 dotDrift=-4.696sigma uMRED=0.0019411271 uER=0.132812 uMAE=1.1875 WCE=16 bias=-0.2500
[quad_soft:02600] loss=0.035895 tau=2.67 collapse_w=0.000 mid_frac=0.208 hard=score=0.0085579034 wNMSE=0.0001439328 wMSE=10.9649 wMRED=0.02697352 wER=0.101286 wMAE=0.9204 wBias=-0.3654 condBias=1.6546 dotDrift=-7.062sigma uMRED=0.0023299979 uER=0.132812 uMAE=1.4375 WCE=16 bias=-0.5000
[quad_soft:02800] loss=0.035269 tau=2.76 collapse_w=0.000 mid_frac=0.208 hard=score=0.0123270512 wNMSE=0.0001775864 wMSE=13.5286 wMRED=0.02855076 wER=0.101286 wMAE=1.0009 wBias=-0.4458 condBias=1.8379 dotDrift=-7.757sigma uMRED=0.0025244333 uER=0.132812 uMAE=1.5625 WCE=20 bias=-0.6250
[quad_soft:03000] loss=0.034702 tau=2.85 collapse_w=0.000 mid_frac=0.208 hard=score=0.0123270512 wNMSE=0.0001775864 wMSE=13.5286 wMRED=0.02855076 wER=0.101286 wMAE=1.0009 wBias=-0.4458 condBias=1.8379 dotDrift=-7.757sigma uMRED=0.0025244333 uER=0.132812 uMAE=1.5625 WCE=20 bias=-0.6250
[quad_soft:03200] loss=0.034219 tau=2.94 collapse_w=0.000 mid_frac=0.208 hard=score=0.0085579034 wNMSE=0.0001439328 wMSE=10.9649 wMRED=0.02697352 wER=0.101286 wMAE=0.9204 wBias=-0.3654 condBias=1.6546 dotDrift=-7.062sigma uMRED=0.0023299979 uER=0.132812 uMAE=1.4375 WCE=16 bias=-0.5000
[quad_soft:03400] loss=0.033852 tau=3.03 collapse_w=0.000 mid_frac=0.208 hard=score=0.0085579034 wNMSE=0.0001439328 wMSE=10.9649 wMRED=0.02697352 wER=0.101286 wMAE=0.9204 wBias=-0.3654 condBias=1.6546 dotDrift=-7.062sigma uMRED=0.0023299979 uER=0.132812 uMAE=1.4375 WCE=16 bias=-0.5000
[quad_soft:03600] loss=0.033460 tau=3.12 collapse_w=0.000 mid_frac=0.208 hard=score=0.0123270512 wNMSE=0.0001775864 wMSE=13.5286 wMRED=0.02855076 wER=0.101286 wMAE=1.0009 wBias=-0.4458 condBias=1.8379 dotDrift=-7.757sigma uMRED=0.0025244333 uER=0.132812 uMAE=1.5625 WCE=20 bias=-0.6250
