[design] quality quad4 entries=56
[device] cuda
[initial] score=23.1638207689 wNMSE=0.1266777 wMSE=9650.3524 wMRED=2.49015048 wER=0.249055 wMAE=46.2353 wBias=20.6553 condBias=49.0754 dotDrift=+13.457sigma uMRED=0.0758882163 uER=0.242188 uMAE=28.6875 WCE=252 bias=17.1875
[quad_warmup_bit:00000] loss=0.413711 tau=1.50 collapse_w=0.000 mid_frac=0.696 hard=score=23.1638207689 wNMSE=0.1266777 wMSE=9650.3524 wMRED=2.49015048 wER=0.249055 wMAE=46.2353 wBias=20.6553 condBias=49.0754 dotDrift=+13.457sigma uMRED=0.0758882163 uER=0.242188 uMAE=28.6875 WCE=252 bias=17.1875
[quad_warmup_bit:00025] loss=0.384089 tau=1.50 collapse_w=0.000 mid_frac=0.714 hard=score=15.9786982093 wNMSE=0.11661777 wMSE=8883.9830 wMRED=2.48960944 wER=0.249055 wMAE=43.5149 wBias=17.1286 condBias=47.0865 dotDrift=+11.630sigma uMRED=0.0655019969 uER=0.242188 uMAE=20.6875 WCE=252 bias=8.8125 *BEST*
[quad_warmup_bit:00075] loss=0.331001 tau=1.50 collapse_w=0.000 mid_frac=0.714 hard=score=14.6859494019 wNMSE=0.11455371 wMSE=8726.7422 wMRED=2.47483794 wER=0.249055 wMAE=42.6658 wBias=16.4141 condBias=46.6679 dotDrift=+11.245sigma uMRED=0.0626933335 uER=0.242188 uMAE=18.6875 WCE=252 bias=6.8125 *BEST*
[quad_warmup_bit:00100] loss=0.306390 tau=1.50 collapse_w=0.000 mid_frac=0.696 hard=score=14.1230939845 wNMSE=0.11418237 wMSE=8698.4534 wMRED=2.47238248 wER=0.249055 wMAE=42.3443 wBias=16.0926 condBias=46.5921 dotDrift=+11.043sigma uMRED=0.0598601464 uER=0.242188 uMAE=16.1875 WCE=252 bias=4.3125 *BEST*
[quad_warmup_bit:00125] loss=0.282261 tau=1.50 collapse_w=0.000 mid_frac=0.679 hard=score=13.6817541180 wNMSE=0.11448372 wMSE=8721.4106 wMRED=2.47577483 wER=0.249055 wMAE=42.6015 wBias=15.8355 condBias=46.6536 dotDrift=+10.852sigma uMRED=0.0606077194 uER=0.242188 uMAE=16.6875 WCE=252 bias=3.8125 *BEST*
[quad_warmup_bit:00150] loss=0.258562 tau=1.50 collapse_w=0.000 mid_frac=0.679 hard=score=13.2201279869 wNMSE=0.11410904 wMSE=8692.8670 wMRED=2.47496766 wER=0.249598 wMAE=42.6690 wBias=15.5625 condBias=46.5772 dotDrift=+10.683sigma uMRED=0.0626511626 uER=0.250000 uMAE=18.7188 WCE=252 bias=1.5625 *BEST*
[quad_warmup_bit:00175] loss=0.235640 tau=1.50 collapse_w=0.000 mid_frac=0.679 hard=score=7.3741513295 wNMSE=0.092355731 wMSE=7035.6925 wMRED=2.27859725 wER=0.249598 wMAE=39.1245 wBias=11.5843 condBias=41.9033 dotDrift=+8.839sigma uMRED=0.0596226169 uER=0.250000 uMAE=18.9219 WCE=220 bias=-1.4375 *BEST*
[quad_warmup_bit:00200] loss=0.214001 tau=1.50 collapse_w=0.000 mid_frac=0.696 hard=score=7.1783134424 wNMSE=0.092575761 wMSE=7052.4545 wMRED=2.27941069 wER=0.249598 wMAE=39.2742 wBias=11.4258 condBias=41.9531 dotDrift=+8.708sigma uMRED=0.0624885475 uER=0.250000 uMAE=21.7344 WCE=220 bias=-4.4375 *BEST*
[quad_warmup_bit:00250] loss=0.176429 tau=1.50 collapse_w=0.000 mid_frac=0.661 hard=score=5.1799956240 wNMSE=0.083143651 wMSE=6333.9130 wMRED=2.18298310 wER=0.249598 wMAE=37.4821 wBias=9.6796 condBias=39.7587 dotDrift=+7.784sigma uMRED=0.0602824985 uER=0.250000 uMAE=21.1719 WCE=204 bias=-4.8125 *BEST*
[quad_warmup_bit:00300] loss=0.148071 tau=1.50 collapse_w=0.000 mid_frac=0.625 hard=score=1.4458527316 wNMSE=0.032573586 wMSE=2481.4674 wMRED=1.39317620 wER=0.249598 wMAE=22.7256 wBias=-5.0769 condBias=24.8871 dotDrift=-6.523sigma uMRED=0.0427579138 uER=0.250000 uMAE=17.1719 WCE=156 bias=-8.8125 *BEST*
[quad_warmup_bit:00400] loss=0.115816 tau=1.50 collapse_w=0.000 mid_frac=0.607 hard=score=10.8530204389 wNMSE=0.028092 wMSE=2140.0585 wMRED=1.01696495 wER=0.230737 wMAE=16.7201 wBias=-14.1679 condBias=28.3595 dotDrift=-19.601sigma uMRED=0.0397794599 uER=0.242188 uMAE=19.5156 WCE=156 bias=-16.3125
[quad_warmup_bit:00600] loss=0.094686 tau=1.50 collapse_w=0.000 mid_frac=0.500 hard=score=12.8647940484 wNMSE=0.026432792 wMSE=2013.6595 wMRED=0.95634518 wER=0.167878 wMAE=15.4329 wBias=-15.4329 condBias=30.8920 dotDrift=-22.011sigma uMRED=0.0376308186 uER=0.226562 uMAE=18.7500 WCE=148 bias=-18.7500
[quad_warmup_bit:00800] loss=0.084562 tau=1.50 collapse_w=0.000 mid_frac=0.518 hard=score=12.5379508142 wNMSE=0.025780971 wMSE=1964.0036 wMRED=0.93760070 wER=0.167878 wMAE=15.2356 wBias=-15.2356 condBias=30.4971 dotDrift=-22.002sigma uMRED=0.0367104577 uER=0.226562 uMAE=18.1250 WCE=144 bias=-18.1250
[quad_warmup_bit:01000] loss=0.075510 tau=1.50 collapse_w=0.000 mid_frac=0.411 hard=score=9.8941831013 wNMSE=0.020517713 wMSE=1563.0467 wMRED=0.83424027 wER=0.167097 wMAE=13.5335 wBias=-13.5335 condBias=27.0903 dotDrift=-21.908sigma uMRED=0.0305992658 uER=0.210938 uMAE=14.0000 WCE=128 bias=-14.0000
[quad_warmup_bit:01200] loss=0.068465 tau=1.50 collapse_w=0.000 mid_frac=0.375 hard=score=9.3628843330 wNMSE=0.019907674 wMSE=1516.5737 wMRED=0.83034203 wER=0.166309 wMAE=13.1850 wBias=-13.1643 condBias=26.3513 dotDrift=-21.634sigma uMRED=0.0281287213 uER=0.195312 uMAE=11.8125 WCE=128 bias=-11.5000
[quad_warmup_bit:01400] loss=0.063404 tau=1.50 collapse_w=0.000 mid_frac=0.286 hard=score=8.2911687279 wNMSE=0.019008542 wMSE=1448.0775 wMRED=0.81785728 wER=0.144267 wMAE=12.4342 wBias=-12.3857 condBias=24.7931 dotDrift=-20.831sigma uMRED=0.0225159803 uER=0.152344 uMAE=7.0000 WCE=128 bias=-6.3750
[quad_warmup_bit:01600] loss=0.059699 tau=1.50 collapse_w=0.000 mid_frac=0.268 hard=score=8.2911687279 wNMSE=0.019008542 wMSE=1448.0775 wMRED=0.81785728 wER=0.144267 wMAE=12.4342 wBias=-12.3857 condBias=24.7931 dotDrift=-20.831sigma uMRED=0.0225159803 uER=0.152344 uMAE=7.0000 WCE=128 bias=-6.3750
[quad_warmup_bit:01800] loss=0.055987 tau=1.50 collapse_w=0.000 mid_frac=0.286 hard=score=8.2911687279 wNMSE=0.019008542 wMSE=1448.0775 wMRED=0.81785728 wER=0.144267 wMAE=12.4342 wBias=-12.3857 condBias=24.7931 dotDrift=-20.831sigma uMRED=0.0225159803 uER=0.152344 uMAE=7.0000 WCE=128 bias=-6.3750
[quad_warmup_bit:02000] loss=0.051779 tau=1.50 collapse_w=0.000 mid_frac=0.232 hard=score=8.2911687279 wNMSE=0.019008542 wMSE=1448.0775 wMRED=0.81785728 wER=0.144267 wMAE=12.4342 wBias=-12.3857 condBias=24.7931 dotDrift=-20.831sigma uMRED=0.0225159803 uER=0.152344 uMAE=7.0000 WCE=128 bias=-6.3750
[quad_warmup_bit:02100] loss=0.049884 tau=1.50 collapse_w=0.000 mid_frac=0.196 hard=score=0.0918664058 wNMSE=0.0011633964 wMSE=88.6280 wMRED=0.03278495 wER=0.090592 wMAE=1.8135 wBias=-1.2584 condBias=4.7048 dotDrift=-8.555sigma uMRED=0.0050368364 uER=0.136719 uMAE=3.3125 WCE=80 bias=-2.3750 *BEST*
[quad_warmup_bit:02200] loss=0.048225 tau=1.50 collapse_w=0.000 mid_frac=0.196 hard=score=0.0918664058 wNMSE=0.0011633964 wMSE=88.6280 wMRED=0.03278495 wER=0.090592 wMAE=1.8135 wBias=-1.2584 condBias=4.7048 dotDrift=-8.555sigma uMRED=0.0050368364 uER=0.136719 uMAE=3.3125 WCE=80 bias=-2.3750
[quad_warmup_bit:02400] loss=0.045528 tau=1.50 collapse_w=0.000 mid_frac=0.179 hard=score=0.0918664058 wNMSE=0.0011633964 wMSE=88.6280 wMRED=0.03278495 wER=0.090592 wMAE=1.8135 wBias=-1.2584 condBias=4.7048 dotDrift=-8.555sigma uMRED=0.0050368364 uER=0.136719 uMAE=3.3125 WCE=80 bias=-2.3750
[quad_warmup_bit:02600] loss=0.043446 tau=1.50 collapse_w=0.000 mid_frac=0.161 hard=score=0.0918664058 wNMSE=0.0011633964 wMSE=88.6280 wMRED=0.03278495 wER=0.090592 wMAE=1.8135 wBias=-1.2584 condBias=4.7048 dotDrift=-8.555sigma uMRED=0.0050368364 uER=0.136719 uMAE=3.3125 WCE=80 bias=-2.3750
[quad_warmup_bit:02800] loss=0.041190 tau=1.50 collapse_w=0.000 mid_frac=0.143 hard=score=0.0918664058 wNMSE=0.0011633964 wMSE=88.6280 wMRED=0.03278495 wER=0.090592 wMAE=1.8135 wBias=-1.2584 condBias=4.7048 dotDrift=-8.555sigma uMRED=0.0050368364 uER=0.136719 uMAE=3.3125 WCE=80 bias=-2.3750
[quad_warmup_bit:02925] loss=0.038255 tau=1.50 collapse_w=0.000 mid_frac=0.107 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750 *BEST*
[quad_warmup_bit:03000] loss=0.036689 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:03200] loss=0.033998 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:03400] loss=0.032651 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
[quad_warmup_bit:03600] loss=0.031938 tau=1.50 collapse_w=0.000 mid_frac=0.089 hard=score=0.0040231395 wNMSE=0.00013035136 wMSE=9.9302 wMRED=0.01921555 wER=0.082765 wMAE=0.7848 wBias=-0.2298 condBias=1.5746 dotDrift=-4.667sigma uMRED=0.0020465443 uER=0.117188 uMAE=1.3125 WCE=16 bias=-0.3750
