[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=2.0031021400 wNMSE=0.0091872936 wMSE=699.8913 wMRED=0.38232123 wER=0.194815 wMAE=8.4506 wBias=-5.9812 condBias=13.2203 dotDrift=-14.470sigma uMRED=0.0314689310 uER=0.242188 uMAE=21.8203 WCE=193 bias=3.0000
[aligned-objective] schema=aligned_ai_metrics_v2 loss_mode=legacy_aligned guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:00000] loss=3.966414 tau=1.50 collapse_w=0.000 mid_frac=0.521 hard=score=2.0031021400 wNMSE=0.0091872936 wMSE=699.8913 wMRED=0.38232123 wER=0.194815 wMAE=8.4506 wBias=-5.9812 condBias=13.2203 dotDrift=-14.470sigma uMRED=0.0314689310 uER=0.242188 uMAE=21.8203 WCE=193 bias=3.0000
[quad_warmup_bit:00200] loss=1.339180 tau=1.50 collapse_w=0.000 mid_frac=0.375 hard=score=0.1647781995 wNMSE=0.0045298884 wMSE=345.0885 wMRED=0.16127324 wER=0.194815 wMAE=5.1943 wBias=-1.5765 condBias=9.2838 dotDrift=-5.431sigma uMRED=0.0173928633 uER=0.242188 uMAE=12.0000 WCE=133 bias=-4.5000
[quad_warmup_bit:00400] loss=0.303721 tau=1.50 collapse_w=0.000 mid_frac=0.354 hard=score=0.8706708544 wNMSE=0.005925873 wMSE=451.4351 wMRED=0.35623714 wER=0.175954 wMAE=7.6446 wBias=3.9104 condBias=10.6167 dotDrift=+11.779sigma uMRED=0.0247493233 uER=0.234375 uMAE=16.1562 WCE=116 bias=-7.3125
[quad_warmup_bit:00600] loss=0.120867 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=1.3603733269 wNMSE=0.0052157825 wMSE=397.3402 wMRED=0.34320252 wER=0.159629 wMAE=6.9841 wBias=4.9391 condBias=9.9600 dotDrift=+15.858sigma uMRED=0.0189876432 uER=0.230469 uMAE=11.0000 WCE=96 bias=1.1250
[quad_warmup_bit:00800] loss=0.087839 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=1.3603733269 wNMSE=0.0052157825 wMSE=397.3402 wMRED=0.34320252 wER=0.159629 wMAE=6.9841 wBias=4.9391 condBias=9.9600 dotDrift=+15.858sigma uMRED=0.0189876432 uER=0.230469 uMAE=11.0000 WCE=96 bias=1.1250
[quad_warmup_bit:01000] loss=0.076887 tau=1.50 collapse_w=0.000 mid_frac=0.229 hard=score=1.3747365727 wNMSE=0.0052419306 wMSE=399.3321 wMRED=0.34334556 wER=0.159629 wMAE=7.0105 wBias=4.9655 condBias=9.9849 dotDrift=+15.903sigma uMRED=0.0194966951 uER=0.230469 uMAE=11.5000 WCE=96 bias=1.6250
[quad_warmup_bit:01200] loss=0.073950 tau=1.50 collapse_w=0.000 mid_frac=0.229 hard=score=1.3747365727 wNMSE=0.0052419306 wMSE=399.3321 wMRED=0.34334556 wER=0.159629 wMAE=7.0105 wBias=4.9655 condBias=9.9849 dotDrift=+15.903sigma uMRED=0.0194966951 uER=0.230469 uMAE=11.5000 WCE=96 bias=1.6250
[quad_warmup_bit:01400] loss=0.069843 tau=1.50 collapse_w=0.000 mid_frac=0.229 hard=score=1.3747365727 wNMSE=0.0052419306 wMSE=399.3321 wMRED=0.34334556 wER=0.159629 wMAE=7.0105 wBias=4.9655 condBias=9.9849 dotDrift=+15.903sigma uMRED=0.0194966951 uER=0.230469 uMAE=11.5000 WCE=96 bias=1.6250
[quad_warmup_bit:01600] loss=0.065905 tau=1.50 collapse_w=0.000 mid_frac=0.229 hard=score=1.3747365727 wNMSE=0.0052419306 wMSE=399.3321 wMRED=0.34334556 wER=0.159629 wMAE=7.0105 wBias=4.9655 condBias=9.9849 dotDrift=+15.903sigma uMRED=0.0194966951 uER=0.230469 uMAE=11.5000 WCE=96 bias=1.6250
[quad_warmup_bit:01800] loss=0.065150 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.7999254886 wNMSE=0.0035929507 wMSE=273.7123 wMRED=0.33122972 wER=0.159629 wMAE=6.0289 wBias=3.7760 condBias=8.2660 dotDrift=+14.607sigma uMRED=0.0165456366 uER=0.230469 uMAE=9.5000 WCE=80 bias=-0.6250
[quad_warmup_bit:02000] loss=0.064114 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=1.4892992297 wNMSE=0.0057105903 wMSE=435.0348 wMRED=0.43157578 wER=0.159629 wMAE=7.4199 wBias=5.1669 condBias=10.4209 dotDrift=+15.854sigma uMRED=0.0188311302 uER=0.230469 uMAE=10.0000 WCE=80 bias=-0.1250
[quad_warmup_bit:02200] loss=0.062943 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=1.5905063276 wNMSE=0.0059025418 wMSE=449.6577 wMRED=0.43434668 wER=0.159629 wMAE=7.5021 wBias=5.3421 condBias=10.6934 dotDrift=+16.123sigma uMRED=0.0189009791 uER=0.230469 uMAE=10.0000 WCE=80 bias=0.1250
[quad_warmup_bit:02400] loss=0.061994 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=1.6818832954 wNMSE=0.0060244481 wMSE=458.9446 wMRED=0.43481472 wER=0.159629 wMAE=7.5182 wBias=5.4962 condBias=11.0018 dotDrift=+16.419sigma uMRED=0.0189136546 uER=0.230469 uMAE=10.0000 WCE=80 bias=0.3750
[quad_warmup_bit:02600] loss=0.060652 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=1.6818832954 wNMSE=0.0060244481 wMSE=458.9446 wMRED=0.43481472 wER=0.159629 wMAE=7.5182 wBias=5.4962 condBias=11.0018 dotDrift=+16.419sigma uMRED=0.0189136546 uER=0.230469 uMAE=10.0000 WCE=80 bias=0.3750
[quad_warmup_bit:02800] loss=0.059599 tau=1.50 collapse_w=0.000 mid_frac=0.229 hard=score=1.6818832954 wNMSE=0.0060244481 wMSE=458.9446 wMRED=0.43481472 wER=0.159629 wMAE=7.5182 wBias=5.4962 condBias=11.0018 dotDrift=+16.419sigma uMRED=0.0189136546 uER=0.230469 uMAE=10.0000 WCE=80 bias=0.3750
[quad_warmup_bit:03000] loss=0.058601 tau=1.50 collapse_w=0.000 mid_frac=0.167 hard=score=1.3740231515 wNMSE=0.0058683545 wMSE=447.0533 wMRED=0.43099666 wER=0.151802 wMAE=7.1785 wBias=4.9554 condBias=10.5640 dotDrift=+15.000sigma uMRED=0.0173408026 uER=0.210938 uMAE=8.7500 WCE=80 bias=-1.1250
[quad_warmup_bit:03200] loss=0.057682 tau=1.50 collapse_w=0.000 mid_frac=0.146 hard=score=1.3740231515 wNMSE=0.0058683545 wMSE=447.0533 wMRED=0.43099666 wER=0.151802 wMAE=7.1785 wBias=4.9554 condBias=10.5640 dotDrift=+15.000sigma uMRED=0.0173408026 uER=0.210938 uMAE=8.7500 WCE=80 bias=-1.1250
