[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=1.7084028662 wNMSE=0.0075009312 wMSE=571.4236 wMRED=0.47599819 wER=0.205961 wMAE=8.8110 wBias=-5.5245 condBias=11.9437 dotDrift=-14.791sigma uMRED=0.0246114127 uER=0.242188 uMAE=14.1562 WCE=96 bias=0.1250
[aligned-objective] schema=aligned_ai_metrics_v2 guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:00000] loss=2.107523 tau=1.50 collapse_w=0.000 mid_frac=0.417 hard=score=1.7084028662 wNMSE=0.0075009312 wMSE=571.4236 wMRED=0.47599819 wER=0.205961 wMAE=8.8110 wBias=-5.5245 condBias=11.9437 dotDrift=-14.791sigma uMRED=0.0246114127 uER=0.242188 uMAE=14.1562 WCE=96 bias=0.1250
[quad_warmup_bit:00200] loss=0.628940 tau=1.50 collapse_w=0.000 mid_frac=0.396 hard=score=1.3669207295 wNMSE=0.0077370934 wMSE=589.4145 wMRED=0.45970551 wER=0.216412 wMAE=9.1795 wBias=4.9200 condBias=12.1305 dotDrift=+12.970sigma uMRED=0.0267100099 uER=0.246094 uMAE=16.2500 WCE=112 bias=1.0625
[quad_warmup_bit:00400] loss=0.212407 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=0.5687940575 wNMSE=0.0070219054 wMSE=534.9313 wMRED=0.44245592 wER=0.175954 wMAE=8.4205 wBias=3.0970 condBias=11.5563 dotDrift=+8.570sigma uMRED=0.0240077253 uER=0.234375 uMAE=14.2812 WCE=112 bias=-10.0000
[quad_warmup_bit:00600] loss=0.094605 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.7662228408 wNMSE=0.0071200861 wMSE=542.4107 wMRED=0.44386436 wER=0.159629 wMAE=8.4791 wBias=3.6354 condBias=11.6368 dotDrift=+9.990sigma uMRED=0.0247998740 uER=0.230469 uMAE=15.0000 WCE=112 bias=-5.6250
[quad_warmup_bit:00800] loss=0.080753 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.8301857783 wNMSE=0.0069723646 wMSE=531.1572 wMRED=0.44070987 wER=0.159629 wMAE=8.3182 wBias=3.7963 condBias=11.5154 dotDrift=+10.542sigma uMRED=0.0244110032 uER=0.230469 uMAE=14.7500 WCE=104 bias=-5.3750
[quad_warmup_bit:01000] loss=0.074812 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.8843741290 wNMSE=0.0072939244 wMSE=555.6538 wMRED=0.44164814 wER=0.159629 wMAE=8.4428 wBias=3.9209 condBias=11.7782 dotDrift=+10.645sigma uMRED=0.0255391210 uER=0.230469 uMAE=15.7500 WCE=120 bias=-4.3750
[quad_warmup_bit:01200] loss=0.071415 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.8509274198 wNMSE=0.0073635619 wMSE=560.9588 wMRED=0.44322539 wER=0.159629 wMAE=8.5232 wBias=3.8405 condBias=11.8343 dotDrift=+10.378sigma uMRED=0.0257335564 uER=0.230469 uMAE=15.8750 WCE=120 bias=-4.5000
[quad_warmup_bit:01400] loss=0.069168 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.8944248003 wNMSE=0.0071764281 wMSE=546.7028 wMRED=0.44265325 wER=0.159629 wMAE=8.4176 wBias=3.9461 condBias=11.6831 dotDrift=+10.801sigma uMRED=0.0236973488 uER=0.230469 uMAE=13.8750 WCE=120 bias=-2.5000
[quad_warmup_bit:01600] loss=0.069054 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=0.8944248003 wNMSE=0.0071764281 wMSE=546.7028 wMRED=0.44265325 wER=0.159629 wMAE=8.4176 wBias=3.9461 condBias=11.6831 dotDrift=+10.801sigma uMRED=0.0236973488 uER=0.230469 uMAE=13.8750 WCE=120 bias=-2.5000
[quad_warmup_bit:01800] loss=0.063599 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.8944248003 wNMSE=0.0071764281 wMSE=546.7028 wMRED=0.44265325 wER=0.159629 wMAE=8.4176 wBias=3.9461 condBias=11.6831 dotDrift=+10.801sigma uMRED=0.0236973488 uER=0.230469 uMAE=13.8750 WCE=120 bias=-2.5000
[quad_warmup_bit:02000] loss=0.062676 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=0.8279080483 wNMSE=0.0073343926 wMSE=558.7366 wMRED=0.44580773 wER=0.159629 wMAE=8.5785 wBias=3.7852 condBias=11.8111 dotDrift=+10.249sigma uMRED=0.0240862196 uER=0.230469 uMAE=14.1250 WCE=120 bias=-2.7500
