[initial-infeasible] random start violates zero-product safety: zero_violations=148, workload_zero_probability=0.0776177181068; using guard baseline as deployable best
[design] default_split quad4 entries=168
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=4267.9448406185 wNMSE=8.8958175 wMSE=677686.5455 wMRED=25.61342512 wER=0.582578 wMAE=406.8217 wBias=278.8667 condBias=500.4201 dotDrift=+21.680sigma uMRED=0.8384604982 uER=0.578125 uMAE=318.5171 WCE=2429 bias=130.5000
[aligned-objective] schema=aligned_ai_metrics_v2 guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:00000] loss=76.323875 tau=1.50 collapse_w=0.000 mid_frac=0.524 hard=score=4267.9448406185 wNMSE=8.8958175 wMSE=677686.5455 wMRED=25.61342512 wER=0.582578 wMAE=406.8217 wBias=278.8667 condBias=500.4201 dotDrift=+21.680sigma uMRED=0.8384604982 uER=0.578125 uMAE=318.5171 WCE=2429 bias=130.5000
[quad_warmup_bit:00200] loss=22.853226 tau=1.50 collapse_w=0.000 mid_frac=0.458 hard=score=1120.0722885075 wNMSE=9.4622722 wMSE=720839.2628 wMRED=31.62199312 wER=0.582578 wMAE=454.8828 wBias=138.1484 condBias=457.4792 dotDrift=+10.414sigma uMRED=0.9972682337 uER=0.578125 uMAE=358.9531 WCE=2520 bias=-12.1875
[quad_warmup_bit:00400] loss=6.278772 tau=1.50 collapse_w=0.000 mid_frac=0.435 hard=score=1483.0036560893 wNMSE=1.7625966 wMSE=134275.2401 wMRED=13.69740571 wER=0.537085 wMAE=180.7089 wBias=-165.0257 condBias=248.6036 dotDrift=-28.823sigma uMRED=0.5159136839 uER=0.570801 uMAE=225.2744 WCE=1565 bias=-105.3125
[quad_warmup_bit:00600] loss=4.173165 tau=1.50 collapse_w=0.000 mid_frac=0.405 hard=score=1651.2872738777 wNMSE=1.7709171 wMSE=134909.0932 wMRED=13.66870333 wER=0.466448 wMAE=182.3982 wBias=-174.2091 condBias=267.4071 dotDrift=-30.355sigma uMRED=0.5335957351 uER=0.555176 uMAE=223.5684 WCE=1528 bias=-134.0000
[quad_warmup_bit:00800] loss=3.278644 tau=1.50 collapse_w=0.000 mid_frac=0.387 hard=score=263.1428885823 wNMSE=0.73013299 wMSE=55621.7910 wMRED=6.84724733 wER=0.446646 wMAE=108.8411 wBias=-69.2470 condBias=116.5140 dotDrift=-18.791sigma uMRED=0.3746185341 uER=0.542725 uMAE=201.2012 WCE=1428 bias=-54.6250
[quad_warmup_bit:01000] loss=2.891174 tau=1.50 collapse_w=0.000 mid_frac=0.363 hard=score=98.0260366592 wNMSE=0.62821902 wMSE=47857.9488 wMRED=5.87007650 wER=0.448929 wMAE=105.7218 wBias=-41.4104 condBias=109.8690 dotDrift=-12.115sigma uMRED=0.3721740668 uER=0.539307 uMAE=196.6230 WCE=1648 bias=-35.6250
[quad_warmup_bit:01200] loss=2.735718 tau=1.50 collapse_w=0.000 mid_frac=0.327 hard=score=103.3489082401 wNMSE=0.64847258 wMSE=49400.8717 wMRED=5.76783456 wER=0.449840 wMAE=107.8029 wBias=-42.5461 condBias=113.4544 dotDrift=-12.251sigma uMRED=0.3753558423 uER=0.540527 uMAE=198.3281 WCE=1696 bias=-43.6250
[quad_warmup_bit:01400] loss=2.659252 tau=1.50 collapse_w=0.000 mid_frac=0.310 hard=score=113.2197911485 wNMSE=0.66685871 wMSE=50801.5338 wMRED=5.78481000 wER=0.438208 wMAE=109.6506 wBias=-44.5934 condBias=118.2857 dotDrift=-12.662sigma uMRED=0.3792014390 uER=0.536133 uMAE=200.1250 WCE=1696 bias=-47.1250
[quad_warmup_bit:01600] loss=2.589439 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=126.2773700255 wNMSE=0.63030197 wMSE=48016.6283 wMRED=5.74801290 wER=0.438115 wMAE=107.3507 wBias=-47.2879 condBias=122.3319 dotDrift=-13.811sigma uMRED=0.3525892018 uER=0.531006 uMAE=183.3457 WCE=1696 bias=-63.6250
[quad_warmup_bit:01800] loss=2.373255 tau=1.50 collapse_w=0.000 mid_frac=0.286 hard=score=200.5501685330 wNMSE=0.81938511 wMSE=62421.0495 wMRED=6.17323461 wER=0.423871 wMAE=118.3626 wBias=-60.0676 condBias=129.9830 dotDrift=-15.387sigma uMRED=0.3579364552 uER=0.516357 uMAE=181.7852 WCE=1760 bias=-82.6250
[quad_warmup_bit:02000] loss=2.156283 tau=1.50 collapse_w=0.000 mid_frac=0.280 hard=score=23.5429806995 wNMSE=0.36984337 wMSE=28174.7997 wMRED=2.65293485 wER=0.400334 wMAE=72.3738 wBias=-19.7371 condBias=85.1965 dotDrift=-7.525sigma uMRED=0.2834145765 uER=0.505371 uMAE=164.9961 WCE=1764 bias=-66.7500
[quad_warmup_bit:02200] loss=2.054536 tau=1.50 collapse_w=0.000 mid_frac=0.244 hard=score=19.6911099323 wNMSE=0.36418459 wMSE=27743.7116 wMRED=2.46225358 wER=0.394612 wMAE=69.8879 wBias=-17.8298 condBias=84.8626 dotDrift=-6.851sigma uMRED=0.2801735686 uER=0.505127 uMAE=164.7910 WCE=1760 bias=-63.6250
[quad_warmup_bit:02400] loss=1.580162 tau=1.50 collapse_w=0.000 mid_frac=0.238 hard=score=19.6911099323 wNMSE=0.36418459 wMSE=27743.7116 wMRED=2.46225358 wER=0.394612 wMAE=69.8879 wBias=-17.8298 condBias=84.8626 dotDrift=-6.851sigma uMRED=0.2801735686 uER=0.505127 uMAE=164.7910 WCE=1760 bias=-63.6250
