[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=0.3351065546 wNMSE=0.0031435239 wMSE=239.4748 wMRED=0.26551016 wER=0.215477 wMAE=5.7772 wBias=2.3997 condBias=7.7322 dotDrift=+9.925sigma uMRED=0.0145236903 uER=0.242188 uMAE=8.0312 WCE=75 bias=-2.5625
[aligned-objective] schema=aligned_ai_metrics_v2 guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:03000] loss=0.062093 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:03200] loss=0.060914 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:03400] loss=0.060345 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:03600] loss=0.059756 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:03800] loss=0.059282 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:04000] loss=0.058782 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.9463849222 wNMSE=0.0058813023 wMSE=448.0397 wMRED=0.43476840 wER=0.159629 wMAE=7.5502 wBias=4.0838 condBias=10.5758 dotDrift=+12.348sigma uMRED=0.0172059798 uER=0.230469 uMAE=8.1875 WCE=80 bias=-3.8750
[quad_warmup_bit:04200] loss=0.057970 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=1.0689140175 wNMSE=0.0057234259 wMSE=436.0126 wMRED=0.43294306 wER=0.156096 wMAE=7.3179 wBias=4.3534 condBias=10.4328 dotDrift=+13.343sigma uMRED=0.0152162651 uER=0.207031 uMAE=6.4375 WCE=80 bias=-1.3750
[quad_warmup_bit:04400] loss=0.057100 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=1.0689140175 wNMSE=0.0057234259 wMSE=436.0126 wMRED=0.43294306 wER=0.156096 wMAE=7.3179 wBias=4.3534 condBias=10.4328 dotDrift=+13.343sigma uMRED=0.0152162651 uER=0.207031 uMAE=6.4375 WCE=80 bias=-1.3750
[quad_warmup_bit:04600] loss=0.056304 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=1.0689140175 wNMSE=0.0057234259 wMSE=436.0126 wMRED=0.43294306 wER=0.156096 wMAE=7.3179 wBias=4.3534 condBias=10.4328 dotDrift=+13.343sigma uMRED=0.0152162651 uER=0.207031 uMAE=6.4375 WCE=80 bias=-1.3750
[quad_warmup_bit:04800] loss=0.055542 tau=1.50 collapse_w=0.000 mid_frac=0.292 hard=score=1.2207529489 wNMSE=0.0055883844 wMSE=425.7251 wMRED=0.42838389 wER=0.148020 wMAE=7.0060 wBias=4.6654 condBias=10.3090 dotDrift=+14.471sigma uMRED=0.0144232587 uER=0.199219 uMAE=5.9375 WCE=80 bias=-0.8750
[quad_warmup_bit:05000] loss=0.054454 tau=1.50 collapse_w=0.000 mid_frac=0.271 hard=score=0.0498552648 wNMSE=0.00048636004 wMSE=37.0511 wMRED=0.02694521 wER=0.093636 wMAE=1.4313 wBias=-0.9247 condBias=3.0421 dotDrift=-9.723sigma uMRED=0.0050310926 uER=0.167969 uMAE=3.6875 WCE=48 bias=-3.3750
[quad_warmup_bit:05200] loss=0.053434 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.0498552648 wNMSE=0.00048636004 wMSE=37.0511 wMRED=0.02694521 wER=0.093636 wMAE=1.4313 wBias=-0.9247 condBias=3.0421 dotDrift=-9.723sigma uMRED=0.0050310926 uER=0.167969 uMAE=3.6875 WCE=48 bias=-3.3750
[quad_warmup_bit:05400] loss=0.052967 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.0266528891 wNMSE=0.00088118412 wMSE=67.1289 wMRED=0.03062024 wER=0.093636 wMAE=1.7446 wBias=0.6183 condBias=4.0943 dotDrift=+4.829sigma uMRED=0.0060948926 uER=0.167969 uMAE=4.4375 WCE=64 bias=-0.3750
[quad_warmup_bit:05600] loss=0.050703 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.0266528891 wNMSE=0.00088118412 wMSE=67.1289 wMRED=0.03062024 wER=0.093636 wMAE=1.7446 wBias=0.6183 condBias=4.0943 dotDrift=+4.829sigma uMRED=0.0060948926 uER=0.167969 uMAE=4.4375 WCE=64 bias=-0.3750
[quad_warmup_bit:05800] loss=0.050539 tau=1.50 collapse_w=0.000 mid_frac=0.250 hard=score=0.0349651145 wNMSE=0.00089859527 wMSE=68.4553 wMRED=0.03074442 wER=0.093636 wMAE=1.7654 wBias=0.7303 condBias=4.1346 dotDrift=+5.649sigma uMRED=0.0064211215 uER=0.167969 uMAE=4.7500 WCE=64 bias=1.6250
[quad_warmup_bit:05999] loss=0.049881 tau=1.50 collapse_w=0.000 mid_frac=0.208 hard=score=0.0304877336 wNMSE=0.00086635837 wMSE=65.9995 wMRED=0.03042938 wER=0.092849 wMAE=1.7094 wBias=0.6743 condBias=4.0597 dotDrift=+5.312sigma uMRED=0.0053965213 uER=0.152344 uMAE=3.7500 WCE=64 bias=0.6250
[quad_soft:00000] loss=0.055156 tau=1.50 collapse_w=0.000 mid_frac=0.208 hard=score=0.0304877336 wNMSE=0.00086635837 wMSE=65.9995 wMRED=0.03042938 wER=0.092849 wMAE=1.7094 wBias=0.6743 condBias=4.0597 dotDrift=+5.312sigma uMRED=0.0053965213 uER=0.152344 uMAE=3.7500 WCE=64 bias=0.6250
