[design] quality quad4 entries=48
[device] cuda
[safety] max_zero_violations=0 max_workload_zero_violation_probability=0
[initial] score=2.0697934983 wNMSE=0.025871854 wMSE=1970.9270 wMRED=0.77634377 wER=0.216412 wMAE=14.6860 wBias=-5.9200 condBias=22.1790 dotDrift=-8.534sigma uMRED=0.0327268610 uER=0.246094 uMAE=15.6562 WCE=220 bias=0.6875
[aligned-objective] schema=aligned_ai_metrics_v2 loss_mode=legacy_aligned guard_tolerance=0.1 constraint_weight=10
[quad_warmup_bit:00000] loss=4.827255 tau=1.50 collapse_w=0.000 mid_frac=0.562 hard=score=2.0697934983 wNMSE=0.025871854 wMSE=1970.9270 wMRED=0.77634377 wER=0.216412 wMAE=14.6860 wBias=-5.9200 condBias=22.1790 dotDrift=-8.534sigma uMRED=0.0327268610 uER=0.246094 uMAE=15.6562 WCE=220 bias=0.6875
[quad_warmup_bit:00200] loss=1.919457 tau=1.50 collapse_w=0.000 mid_frac=0.521 hard=score=0.1107119322 wNMSE=0.0014936449 wMSE=113.7864 wMRED=0.15142531 wER=0.216412 wMAE=3.7284 wBias=1.3545 condBias=5.3298 dotDrift=+8.127sigma uMRED=0.0141593523 uER=0.246094 uMAE=10.1562 WCE=105 bias=-4.3125
[quad_warmup_bit:00400] loss=0.524413 tau=1.50 collapse_w=0.000 mid_frac=0.458 hard=score=1.2524558300 wNMSE=0.0061634235 wMSE=469.5318 wMRED=0.44721164 wER=0.175954 wMAE=7.5134 wBias=4.7202 condBias=10.8263 dotDrift=+13.941sigma uMRED=0.0196682414 uER=0.234375 uMAE=10.7031 WCE=86 bias=-6.2500
[quad_warmup_bit:00600] loss=0.208456 tau=1.50 collapse_w=0.000 mid_frac=0.438 hard=score=0.9187579152 wNMSE=0.0057663654 wMSE=439.2838 wMRED=0.43661691 wER=0.175954 wMAE=7.4511 wBias=4.0225 condBias=10.4717 dotDrift=+12.283sigma uMRED=0.0200463927 uER=0.234375 uMAE=11.1875 WCE=88 bias=-7.0000
[quad_warmup_bit:00800] loss=0.124068 tau=1.50 collapse_w=0.000 mid_frac=0.396 hard=score=1.0341345900 wNMSE=0.0056873537 wMSE=433.2646 wMRED=0.43322456 wER=0.169477 wMAE=7.1939 wBias=4.2797 condBias=10.3997 dotDrift=+13.159sigma uMRED=0.0192988197 uER=0.218750 uMAE=10.6875 WCE=88 bias=-6.5000
[quad_warmup_bit:01000] loss=0.097260 tau=1.50 collapse_w=0.000 mid_frac=0.354 hard=score=1.0341345900 wNMSE=0.0056873537 wMSE=433.2646 wMRED=0.43322456 wER=0.169477 wMAE=7.1939 wBias=4.2797 condBias=10.3997 dotDrift=+13.159sigma uMRED=0.0192988197 uER=0.218750 uMAE=10.6875 WCE=88 bias=-6.5000
[quad_warmup_bit:01200] loss=0.084294 tau=1.50 collapse_w=0.000 mid_frac=0.354 hard=score=1.0341345900 wNMSE=0.0056873537 wMSE=433.2646 wMRED=0.43322456 wER=0.169477 wMAE=7.1939 wBias=4.2797 condBias=10.3997 dotDrift=+13.159sigma uMRED=0.0192988197 uER=0.218750 uMAE=10.6875 WCE=88 bias=-6.5000
[quad_warmup_bit:01400] loss=0.076243 tau=1.50 collapse_w=0.000 mid_frac=0.354 hard=score=1.0341345900 wNMSE=0.0056873537 wMSE=433.2646 wMRED=0.43322456 wER=0.169477 wMAE=7.1939 wBias=4.2797 condBias=10.3997 dotDrift=+13.159sigma uMRED=0.0192988197 uER=0.218750 uMAE=10.6875 WCE=88 bias=-6.5000
[quad_warmup_bit:01600] loss=0.071571 tau=1.50 collapse_w=0.000 mid_frac=0.312 hard=score=1.0979091593 wNMSE=0.0056644647 wMSE=431.5209 wMRED=0.42546659 wER=0.151802 wMAE=7.0583 wBias=4.4153 condBias=10.3787 dotDrift=+13.603sigma uMRED=0.0190153661 uER=0.210938 uMAE=10.5625 WCE=88 bias=-6.3750
[quad_warmup_bit:01800] loss=0.068558 tau=1.50 collapse_w=0.000 mid_frac=0.333 hard=score=1.2281961269 wNMSE=0.0062117308 wMSE=473.2119 wMRED=0.43219830 wER=0.151802 wMAE=7.5667 wBias=4.6724 condBias=10.8690 dotDrift=+13.746sigma uMRED=0.0220590243 uER=0.210938 uMAE=13.1250 WCE=104 bias=-2.7500
[quad_warmup_bit:02000] loss=0.068133 tau=1.50 collapse_w=0.000 mid_frac=0.354 hard=score=1.2281961269 wNMSE=0.0062117308 wMSE=473.2119 wMRED=0.43219830 wER=0.151802 wMAE=7.5667 wBias=4.6724 condBias=10.8690 dotDrift=+13.746sigma uMRED=0.0220590243 uER=0.210938 uMAE=13.1250 WCE=104 bias=-2.7500
